GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,0.167757614,0.17 [0.08-0.27],0.081173039,0.270576797
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2001,2001,2001,SEAR,South-East Asia,BGD,Bangladesh,,,,6.616702382,6.62 [2.93-10.45],2.930609272,10.44603732
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2009,2009,2009,SEAR,South-East Asia,BGD,Bangladesh,,,,4.957225838,4.96 [4.19-5.79],4.189607077,5.794633714
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,1.102654564,1.10 [0.94-1.28],0.939008364,1.279671316
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,6621.0,6621,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,0.147535083,0.15 [0.07-0.24],0.068093115,0.238325904
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2024,2024,2024,SEAR,South-East Asia,BGD,Bangladesh,,,,13070.0,13 070,,
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2024,2024,2024,SEAR,South-East Asia,BGD,Bangladesh,,,,0.0,0,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2006,2006,2006,SEAR,South-East Asia,BGD,Bangladesh,,,,3.21963011,3.22 [3.22-3.22],3.21963011,3.21963011
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,0.703458625,0.70 [0.62-0.79],0.620838979,0.792208071
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2022,2022,2022,SEAR,South-East Asia,BGD,Bangladesh,,,,1632840.0,1 632 840,,
