ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,4044299,Women who want no more children,5.8,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,75,,,1
BGD,Barishal,1090526,Women who want no more children,11.3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,170,,,1
BGD,Barishal,4869084,Women who want no more children,59.7,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,199,,,1
BGD,Barishal,4328950,Women who want no more children,82.7,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,170,,,1
BGD,Barishal,6184911,Women who want no more children,94.4,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,111,,,1
BGD,Barishal,5194728,Women who want no more children,93.1,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,106,,,1
BGD,Barishal,6837222,Women who want no more children,88.6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,100,,,1
BGD,Chattogram/Sylhet,4985616,Women who want no more children,53.3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,1000,Total,0,1,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,1833,,,1
BGD,Chattogram/Sylhet,6822366,Women who want no more children,3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,157,,,1
BGD,Chattogram/Sylhet,1083492,Women who want no more children,6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,289,,,1
BGD,Chattogram/Sylhet,350185,Women who want no more children,43.2,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,354,,,1
BGD,Chattogram/Sylhet,4985596,Women who want no more children,64.9,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,305,,,1
BGD,Chattogram/Sylhet,4390139,Women who want no more children,77,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,246,,,1
BGD,Chattogram/Sylhet,4842225,Women who want no more children,91.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,184,,,1
BGD,Chattogram/Sylhet,7493928,Women who want no more children,82.1,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,298,,,1
BGD,Chattogram,1067413,Women who want no more children,53.3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,1000,Total,0,1,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,1833,,,
BGD,Chattogram,1067373,Women who want no more children,3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,157,,,
BGD,Chattogram,6263845,Women who want no more children,6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,289,,,
BGD,Chattogram,5842364,Women who want no more children,43.2,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,354,,,
BGD,Chattogram,3898194,Women who want no more children,64.9,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,305,,,
BGD,Chattogram,7445241,Women who want no more children,77,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,246,,,
BGD,Chattogram,4108681,Women who want no more children,91.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,184,,,
BGD,Chattogram,7703241,Women who want no more children,82.1,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360003,1360030,Region,..Chattogram,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360003,1993-94,DHS,,298,,,
BGD,Dhaka before 2015,1067371,Women who want no more children,57.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,1000,Total,0,1,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,2531,,,1
BGD,Dhaka before 2015,3942793,Women who want no more children,3.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,245,,,1
BGD,Dhaka before 2015,1067359,Women who want no more children,7.9,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,454,,,1
BGD,Dhaka before 2015,1067391,Women who want no more children,57.7,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,557,,,1
BGD,Dhaka before 2015,1067415,Women who want no more children,82,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,446,,,1
BGD,Dhaka before 2015,5021084,Women who want no more children,87.8,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,331,,,1
BGD,Dhaka before 2015,7861841,Women who want no more children,88.9,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,218,,,1
BGD,Dhaka before 2015,5844941,Women who want no more children,85,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360005,1360050,Region,Dhaka before 2015,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360005,1993-94,DHS,,280,,,1
BGD,Khulna,1067357,Women who want no more children,59.4,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,1000,Total,0,1,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,1167,,,1
BGD,Khulna,3340111,Women who want no more children,1.1,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,95,,,1
BGD,Khulna,4749323,Women who want no more children,9.1,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,230,,,1
BGD,Khulna,3585265,Women who want no more children,65.6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,277,,,1
BGD,Khulna,1067382,Women who want no more children,86.6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,211,,,1
