ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Chattogram/Sylhet,6245774,Children with moderate anemia,22.7,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNANMCCMOD,BDDHS2011360002,2011,DHS,694,835,,,
BGD,Chattogram,31960,Children with moderate anemia,23.4,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360003,1360030,Region,..Chattogram,0,,0,1,CNANMCCMOD,BDDHS2011360003,2011,DHS,509,444,,,1
BGD,Sylhet,7347362,Children with moderate anemia,20.7,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360004,1360040,Region,..Sylhet,0,,0,1,CNANMCCMOD,BDDHS2011360004,2011,DHS,185,391,,,1
BGD,Dhaka before 2015,1304354,Children with moderate anemia,19.5,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNANMCCMOD,BDDHS2011360005,2011,DHS,738,390,,,1
BGD,Khulna,455888,Children with moderate anemia,19.4,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360006,1360060,Region,Khulna,0,,0,1,CNANMCCMOD,BDDHS2011360006,2011,DHS,225,263,,,1
BGD,Rajshahi/Rangpur,816557,Children with moderate anemia,22,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNANMCCMOD,BDDHS2011360007,2011,DHS,560,598,,,
BGD,Rangpur,2808954,Children with moderate anemia,24.7,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360008,1360080,Region,..Rangpur,0,,0,1,CNANMCCMOD,BDDHS2011360008,2011,DHS,268,311,,,1
BGD,Rajshahi,5860117,Children with moderate anemia,19.6,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MOD,104466030,I,360009,1360090,Region,..Rajshahi,0,,0,1,CNANMCCMOD,BDDHS2011360009,2011,DHS,293,287,,,1
BGD,Barishal,7011780,Children with severe anemia,1.1,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360001,1360010,Region,Barishal,0,,0,1,CNANMCCSEV,BDDHS2011360001,2011,DHS,136,275,,,1
BGD,Chattogram/Sylhet,6245775,Children with severe anemia,0.9,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNANMCCSEV,BDDHS2011360002,2011,DHS,694,835,,,
BGD,Chattogram,31957,Children with severe anemia,0.7,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360003,1360030,Region,..Chattogram,0,,0,1,CNANMCCSEV,BDDHS2011360003,2011,DHS,509,444,,,1
BGD,Sylhet,7347363,Children with severe anemia,1.6,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360004,1360040,Region,..Sylhet,0,,0,1,CNANMCCSEV,BDDHS2011360004,2011,DHS,185,391,,,1
BGD,Dhaka before 2015,1304352,Children with severe anemia,0.9,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNANMCCSEV,BDDHS2011360005,2011,DHS,738,390,,,1
BGD,Khulna,455889,Children with severe anemia,0.9,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360006,1360060,Region,Khulna,0,,0,1,CNANMCCSEV,BDDHS2011360006,2011,DHS,225,263,,,1
BGD,Rajshahi/Rangpur,816556,Children with severe anemia,0.2,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNANMCCSEV,BDDHS2011360007,2011,DHS,560,598,,,
BGD,Rangpur,2808955,Children with severe anemia,0,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360008,1360080,Region,..Rangpur,0,,0,1,CNANMCCSEV,BDDHS2011360008,2011,DHS,268,311,,,1
BGD,Rajshahi,5860116,Children with severe anemia,0.4,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_SEV,104466040,I,360009,1360090,Region,..Rajshahi,0,,0,1,CNANMCCSEV,BDDHS2011360009,2011,DHS,293,287,,,1
BGD,Barishal,7011781,Number of children under age 5,136,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360001,1360010,Region,Barishal,0,,0,1,CNANMCCNUM,BDDHS2011360001,2011,DHS,,275,,,1
BGD,Chattogram/Sylhet,6333470,Number of children under age 5,694,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNANMCCNUM,BDDHS2011360002,2011,DHS,,835,,,
BGD,Chattogram,1290307,Number of children under age 5,509,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360003,1360030,Region,..Chattogram,0,,0,1,CNANMCCNUM,BDDHS2011360003,2011,DHS,,444,,,1
BGD,Sylhet,7382581,Number of children under age 5,185,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360004,1360040,Region,..Sylhet,0,,0,1,CNANMCCNUM,BDDHS2011360004,2011,DHS,,391,,,1
BGD,Dhaka before 2015,1304355,Number of children under age 5,738,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNANMCCNUM,BDDHS2011360005,2011,DHS,,390,,,1
BGD,Khulna,714381,Number of children under age 5,225,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360006,1360060,Region,Khulna,0,,0,1,CNANMCCNUM,BDDHS2011360006,2011,DHS,,263,,,1
BGD,Rajshahi/Rangpur,2842915,Number of children under age 5,560,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNANMCCNUM,BDDHS2011360007,2011,DHS,,598,,,
BGD,Rangpur,1282781,Number of children under age 5,268,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360008,1360080,Region,..Rangpur,0,,0,1,CNANMCCNUM,BDDHS2011360008,2011,DHS,,311,,,1
BGD,Rajshahi,5999886,Number of children under age 5,293,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_NUM,104466050,D,360009,1360090,Region,..Rajshahi,0,,0,1,CNANMCCNUM,BDDHS2011360009,2011,DHS,,287,,,1
BGD,Barishal,1297322,Number of children under age 5 (unweighted),275,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360001,1360010,Region,Barishal,0,,0,1,CNANMCCUNW,BDDHS2011360001,2011,DHS,136,,,,1
BGD,Chattogram/Sylhet,490515,Number of children under age 5 (unweighted),835,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNANMCCUNW,BDDHS2011360002,2011,DHS,694,,,,
BGD,Chattogram,32014,Number of children under age 5 (unweighted),444,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360003,1360030,Region,..Chattogram,0,,0,1,CNANMCCUNW,BDDHS2011360003,2011,DHS,509,,,,1
BGD,Sylhet,292481,Number of children under age 5 (unweighted),391,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360004,1360040,Region,..Sylhet,0,,0,1,CNANMCCUNW,BDDHS2011360004,2011,DHS,185,,,,1
BGD,Dhaka before 2015,1304367,Number of children under age 5 (unweighted),390,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNANMCCUNW,BDDHS2011360005,2011,DHS,738,,,,1
BGD,Khulna,7234833,Number of children under age 5 (unweighted),263,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360006,1360060,Region,Khulna,0,,0,1,CNANMCCUNW,BDDHS2011360006,2011,DHS,225,,,,1
BGD,Rajshahi/Rangpur,3946855,Number of children under age 5 (unweighted),598,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNANMCCUNW,BDDHS2011360007,2011,DHS,560,,,,
BGD,Rangpur,2808956,Number of children under age 5 (unweighted),311,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360008,1360080,Region,..Rangpur,0,,0,1,CNANMCCUNW,BDDHS2011360008,2011,DHS,268,,,,1
BGD,Rajshahi,3251064,Number of children under age 5 (unweighted),287,0,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_UNW,104466060,U,360009,1360090,Region,..Rajshahi,0,,0,1,CNANMCCUNW,BDDHS2011360009,2011,DHS,293,,,,1
BGD,Barishal,1297436,Women with any anemia,45.6,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360001,1360010,Region,Barishal,0,,0,1,ANANEMWANY,BDDHS2011360001,2011,DHS,306,628,,,1
BGD,Chattogram/Sylhet,7076329,Women with any anemia,38.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,ANANEMWANY,BDDHS2011360002,2011,DHS,1301,1562,,,
BGD,Chattogram,3354623,Women with any anemia,38.4,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360003,1360030,Region,..Chattogram,0,,0,1,ANANEMWANY,BDDHS2011360003,2011,DHS,991,888,,,1
BGD,Sylhet,1290476,Women with any anemia,39.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360004,1360040,Region,..Sylhet,0,,0,1,ANANEMWANY,BDDHS2011360004,2011,DHS,310,674,,,1
BGD,Dhaka before 2015,7130536,Women with any anemia,43.1,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,ANANEMWANY,BDDHS2011360005,2011,DHS,1850,982,,,1
BGD,Khulna,4487348,Women with any anemia,37.4,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360006,1360060,Region,Khulna,0,,0,1,ANANEMWANY,BDDHS2011360006,2011,DHS,708,872,,,1
BGD,Rajshahi/Rangpur,38291,Women with any anemia,46.4,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,ANANEMWANY,BDDHS2011360007,2011,DHS,1511,1622,,,
BGD,Rangpur,1282879,Women with any anemia,49.5,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360008,1360080,Region,..Rangpur,0,,0,1,ANANEMWANY,BDDHS2011360008,2011,DHS,664,791,,,1
BGD,Rajshahi,7033608,Women with any anemia,44.1,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_ANY,114603010,I,360009,1360090,Region,..Rajshahi,0,,0,1,ANANEMWANY,BDDHS2011360009,2011,DHS,847,831,,,1
